model_file,avg_loss,avg_dice,avg_iou,avg_pixel_acc
523,0.637362848,0.7953,0.6698,0.8997
524,0.638553764,0.7573,0.6204,0.8785
525,0.637481934,0.8344,0.7221,0.9224
526,0.637372518,0.7658,0.6283,0.8845
527,0.63727481,0.7998,0.6733,0.9023
528,0.637113799,0.837,0.726,0.9235
529,0.63686019,0.8223,0.707,0.9167
530,0.63724915,0.8195,0.7015,0.9145
531,0.637154222,0.8182,0.7001,0.9155
532,0.636982573,0.8224,0.7062,0.9149
533,0.638881986,0.7749,0.6376,0.8823
534,0.637349414,0.8085,0.6844,0.9051
535,0.636771452,0.8285,0.7146,0.9207
536,0.637049546,0.8458,0.7388,0.9267
537,0.636989216,0.837,0.7246,0.9201
538,0.637884643,0.8195,0.6991,0.9094
539,0.637054637,0.8357,0.7241,0.9208
540,0.637410448,0.8218,0.704,0.9144
541,0.636776028,0.8423,0.7354,0.9235
542,0.636858803,0.8354,0.7227,0.9201
543,0.636687701,0.8371,0.7251,0.9218
544,0.637164671,0.8307,0.7147,0.9173
545,0.638567837,0.7999,0.6755,0.9027
546,0.638113531,0.8141,0.6932,0.908
547,0.637518833,0.8067,0.686,0.9075
548,0.637824435,0.8136,0.6911,0.9071
549,0.6368005,0.8483,0.7438,0.9284
550,0.636997115,0.8293,0.7139,0.9163
551,0.637428007,0.8192,0.6994,0.9105
552,0.637341451,0.8037,0.6795,0.9024
553,0.637234156,0.8019,0.6771,0.9025
554,0.637957581,0.7791,0.646,0.8916
555,0.637185954,0.81,0.6879,0.9062
556,0.637240443,0.8152,0.6925,0.9075
557,0.637428274,0.796,0.6695,0.9008
558,0.637965674,0.777,0.6448,0.8865
559,0.638559033,0.6996,0.5492,0.8344
560,0.637854045,0.7571,0.6158,0.8726
561,0.637430821,0.8031,0.6797,0.9055
562,0.638800433,0.768,0.6325,0.8803
563,0.638453176,0.7695,0.638,0.8856
564,0.637980339,0.7894,0.6591,0.8932
565,0.637395308,0.8008,0.6743,0.9003
566,0.636536287,0.8222,0.7048,0.9142
567,0.636733813,0.8199,0.7016,0.9132
568,0.636998645,0.8264,0.7119,0.9189
569,0.636888543,0.792,0.6615,0.8951
570,0.637723969,0.7683,0.6346,0.8812
571,0.637621914,0.7739,0.6371,0.8835
572,0.638788494,0.777,0.6435,0.8848
573,0.637353835,0.8005,0.6758,0.8996
574,0.636932274,0.805,0.6795,0.9015
575,0.63682831,0.7693,0.6368,0.883
576,0.637027877,0.7846,0.654,0.8921
577,0.636926854,0.797,0.6712,0.9009
578,0.636968392,0.7951,0.6642,0.8965
579,0.636894676,0.798,0.6713,0.9
580,0.636724753,0.8206,0.7024,0.9147
581,0.637128709,0.7953,0.6676,0.8987
582,0.636886613,0.815,0.6953,0.9105
583,0.636852955,0.8184,0.6993,0.9121
584,0.637595678,0.7883,0.6594,0.8964
585,0.637316983,0.7995,0.6785,0.9064
586,0.637173947,0.8273,0.711,0.9152
587,0.637169126,0.8062,0.6819,0.9058
588,0.637656548,0.7804,0.6489,0.8899
589,0.637546109,0.7779,0.6444,0.8893
590,0.637489745,0.7931,0.6652,0.9007
591,0.63668641,0.8144,0.6936,0.9104
592,0.637061056,0.8232,0.7057,0.917
593,0.63701215,0.8271,0.7122,0.9181
594,0.63711392,0.8218,0.7034,0.9136
595,0.637446305,0.7886,0.6617,0.8966
596,0.637105266,0.7934,0.6662,0.8957
597,0.636746649,0.8255,0.7081,0.9168
598,0.637066727,0.7938,0.6663,0.8944
599,0.637478195,0.7834,0.6547,0.8907
600,0.636877076,0.8236,0.7068,0.9136
601,0.636935596,0.8145,0.6947,0.9114
602,0.637768503,0.7705,0.6402,0.8879
603,0.637434996,0.7836,0.6513,0.8888
604,0.637318799,0.796,0.6714,0.8984
605,0.63767356,0.8,0.6738,0.9
606,0.637341243,0.7855,0.6542,0.8872
607,0.636827457,0.8345,0.7218,0.9199
608,0.637077701,0.8161,0.6955,0.9103
609,0.63708163,0.8187,0.6996,0.9103
610,0.638023826,0.7769,0.6455,0.8888
611,0.63801669,0.7742,0.6421,0.888
612,0.637284809,0.7922,0.6641,0.8971
613,0.637203576,0.8021,0.6763,0.9041
614,0.63717375,0.7938,0.663,0.8942
615,0.637258602,0.7832,0.6514,0.8917
616,0.637201694,0.7867,0.6558,0.8951
617,0.638037325,0.799,0.6759,0.9029
618,0.639091373,0.7423,0.6019,0.8691
619,0.638444644,0.7519,0.6139,0.8726
620,0.638322804,0.7722,0.6383,0.884
621,0.637064785,0.7858,0.6577,0.8918
622,0.636822148,0.8268,0.7127,0.9173
623,0.637209189,0.7987,0.6733,0.9042
624,0.63758343,0.7856,0.655,0.8915
625,0.63715699,0.8101,0.6899,0.9075
626,0.637233688,0.7917,0.6635,0.8992
627,0.637374163,0.8083,0.6899,0.9103
628,0.63751909,0.7872,0.6557,0.889
629,0.637169193,0.8116,0.6895,0.9089
630,0.637100172,0.805,0.6826,0.9057
631,0.637448315,0.8069,0.6838,0.9055
632,0.637404767,0.7948,0.6665,0.897
633,0.637320024,0.8011,0.6751,0.9006
634,0.636927821,0.8142,0.6918,0.9066
635,0.637138913,0.8058,0.6828,0.9047
636,0.636783217,0.8352,0.7213,0.9199
637,0.637287367,0.7837,0.6533,0.8908
638,0.637596085,0.7909,0.6618,0.8969
639,0.636926517,0.8411,0.73,0.9218
640,0.637214994,0.8033,0.68,0.9046
641,0.637103278,0.8067,0.6839,0.9055
642,0.637568209,0.7826,0.6527,0.8927
643,0.637404048,0.7957,0.6707,0.9003
644,0.637258034,0.7863,0.6571,0.8928
645,0.637033147,0.8118,0.6908,0.9082
646,0.637685048,0.7968,0.6707,0.8984
647,0.637834922,0.7906,0.6603,0.8956
648,0.636953231,0.795,0.6674,0.9
649,0.636829107,0.834,0.7216,0.9213
650,0.637123246,0.8138,0.695,0.9092
